Sample_ID,mean_expr,std_expr,max_expr
ACH-001097,3.4161350664999994,3.545980545953554,12.49125185
ACH-001636,4.791191685500001,3.1165639555821154,11.88767757
ACH-001804,4.872734015400001,2.7398771561455475,12.25668047
ACH-000534,5.1724695966,2.9428326319087303,11.57539743
ACH-000742,4.7430222412,3.035030124525401,12.81995951
ACH-000836,5.562510952399999,2.51290388673493,12.06383322
ACH-002018,4.4027239649,3.312228257598978,12.67888619
ACH-000545,5.656125222200001,2.494260353086819,11.04200131
ACH-001617,5.2296272506,2.819754905485883,10.57714555
ACH-001850,5.655529154799999,3.0177403663859765,13.07367298
ACH-000470,5.17397309,2.7578093723294925,11.82041833
ACH-001959,4.9874714645,2.4894695989239883,11.0502568
ACH-000079,5.0888107826,2.4699793145617694,11.73165845
ACH-000762,5.5248308659,2.8479679052862754,12.31109549
ACH-000495,5.1778273149,3.044304856391783,13.12907368
ACH-001862,4.7559024064,2.8604642852066484,11.6750308
ACH-000834,4.490033421400001,2.7948955961167092,10.8271839
ACH-000981,5.8099491426,3.335899559400742,12.78961515
ACH-001642,3.7326312292999995,3.4855849605495974,11.27839138
ACH-001020,4.7851933274,3.174011202155649,12.43295941
ACH-001799,5.206520379300001,2.7547140649462225,11.66404722
ACH-001425,3.2232885535999998,2.7951503145994856,9.205011221
ACH-001100,4.237380137600001,3.4362492799417312,11.73564064
ACH-000652,5.3360823821,2.6689691424104667,12.15323534
ACH-001400,3.1203676779,2.3793478316746652,8.696654619
ACH-001119,4.1808178252,3.3211172999339116,11.49894891
ACH-001450,5.265366949799999,3.270801957292813,11.4236412
ACH-001520,4.1965297205,3.338032337044667,11.94818469
ACH-001622,4.114027818,3.2603597255493986,12.48869374
ACH-001849,4.6678718856,3.467238932399935,11.08673335
ACH-001033,4.5089533592,3.4309516578194916,12.92180375
ACH-000660,5.8730383687,3.1686072691583527,13.06110113
ACH-000813,5.6251830515000005,3.1255545823944724,12.76150968
ACH-001143,2.9176013287,3.0280841861336563,10.20163386
ACH-001411,4.8897058235,3.2170849820141045,11.00569472
ACH-001196,3.7742599346999994,3.1209850217037554,11.26684509
ACH-001239,4.393053279999999,3.2239258637390336,12.18865066
ACH-000741,5.3392253349,2.9061898737544727,10.92355034
ACH-001068,4.105270748600001,3.7565184916132957,12.58009365
ACH-000723,5.2169441317,2.7950707638942496,12.11126611
ACH-001634,4.585430712100001,3.6153389898159634,13.46620395
ACH-001028,4.0424919748,2.933935846820834,11.50327916
ACH-001853,4.857937152100001,3.009087069680438,11.1438296
ACH-001791,4.483236935500001,3.45706732222268,11.6313135
ACH-001184,3.9995168187000005,2.85681040374915,11.1048608
ACH-001485,4.4625842999,3.070920971309288,11.80654962
ACH-000608,5.042550717099999,2.694108549513137,11.63938593
ACH-001702,4.405896343099999,2.9948647706926788,11.74965996
ACH-001563,4.672984723399999,2.920843384993275,12.23218106
ACH-000529,5.313620108699999,2.447713889851733,11.99251354
ACH-001560,4.914553761,3.125415092757324,11.70968696
ACH-001050,4.5306295907,3.219548824752845,12.06309168
ACH-001431,4.1623042478,3.5451561097561632,11.74894755
ACH-000958,5.765919429200001,2.768433756452011,11.36353249
ACH-001392,3.3592927967,3.482648827444058,12.37183108
ACH-000772,5.2034650252,2.9384160247092255,12.1091777
ACH-001163,4.6845765749,3.032131824646518,11.55281317
ACH-001664,5.585161046499999,2.6591439334162024,12.08610304
ACH-001060,5.3538420374,3.3045805704381883,12.45203527
ACH-001316,5.7440910335,2.5658106213260163,12.13996696
ACH-001054,4.241105329600001,3.3685542437305704,10.61664073
ACH-001638,4.697360423,2.874198915586674,11.17841587
ACH-000318,4.7613480061,3.0004095524089913,12.32881515
ACH-000820,4.483780362999999,2.7743052352375295,10.92585111
ACH-000686,5.5195998623,2.859322528320134,12.78295727
ACH-001497,4.8541697418,3.1445699761630572,12.26470648
ACH-001844,4.6348630431,3.3834308170250362,12.69213598
ACH-001735,5.4543512295,3.101399597741513,11.36265618
ACH-001300,5.2027286226000005,3.2265563005198366,12.41874865
ACH-001147,4.503680623,3.1612070313636633,12.02876942
ACH-000899,4.4810134546,3.1300495105739947,12.08367876
ACH-001790,4.9573407203999995,2.761153157742651,11.89318775
ACH-000437,4.744943640099999,3.1913568907310736,12.57959879
ACH-001416,5.4145634143,2.172619372361934,11.34129643
ACH-001632,4.1185978075000005,3.596775443257894,12.46768196
ACH-001653,5.0674925787,2.5295922073234003,10.76834976
